Quantum,MeanDelay,MeanSlowdown,50th,99th,50th_sldn,99th_sldn
0.1,10488.6765320412,1.3598901335533913,74.21881995908916,199437.55503466725,1.0016094905698472,8.106012271599841
1,7629.305739147848,1.2731859068401954,73.8245911411941,139861.9188590739,1.012374410039938,5.663098933687427
10,8625.75722277728,1.5359808597667155,79.08367866324261,156275.41932401992,1.0971740386783089,6.56598669924196
100,5582.402584878038,3.38134903146241,131.14101720415056,104802.80350565724,1.4546537248026183,33.88533108871912
1000,8852.843983390254,23.888231213478953,772.6976586133242,152528.55483336747,2.9213329810960507,340.2718960377152
10000,10156.524839234073,191.28527076475046,3887.4729755762964,113808.73886210658,10.789296813382693,3032.2480360010363
100000,16654.705335324354,427.37374546515605,8390.40765274188,164476.24943600036,23.036458853820605,6446.82446843403
1e+06,14475.599340163246,430.50567746403436,8387.970863806084,141963.91132184118,22.763462609273667,6690.6630944596445
1e+07,13937.779093891038,400.97275717081135,7744.83432713896,116508.0624858886,18.489864697600478,6806.6526072118395
1e+08,16453.657737088488,427.705078669324,8253.264079565182,143082.0707258908,22.828639838229506,7441.052083408923
1e+09,14322.907071959242,396.10979710624736,7878.172844737768,150813.90411333553,19.121096159338965,6235.953766749855
