Quantum,50th,99th
1,128.36749003455043,216867.02840683213
5,130.50759718054906,209248.5095923897
10,133.4801966138184,106474.28836489841
20,138.8886096328497,102767.74188768957
50,155.13623038958758,175795.49094693176
100,184.35538534261286,149559.63947523013
500,379.2727772295475,146587.0697244201
