Quantum,50th,99th
1,4693.1752596732695,28783.65427149646
10,5292.340476181358,29971.24037232995
50,4532.561680465937,26228.2576536797
100,5607.664623070508,32646.328366318485
500,5358.8076790114865,30385.758323615417
5000,5191.33884012606,22846.637139230967
