Quantum,MeanDelay,MeanSlowdown,50th,99th,50th_sldn,99th_sldn
0.1,7.634905058870955,2.9820701618512264,0.29133833944797516,43.3519452419132,1.1996458246619326,45.34894115256301
1,8.089220022640912,19.66162350378125,0.7509310531895608,42.88625763822347,2.518762956894739,432.38245667895507
10,11.7842471055629,168.95285146340694,4.372494617477059,46.8384660705924,13.207644536288186,4092.326884214003
100,40.45717847481348,1327.1488302570367,22.932080840691924,119.71876780316234,70.22787257602133,36027.16626079083
1000,194.83877605803525,7579.989460742828,55.88796891714446,998.4231414059177,181.28011302734984,227632.32176439872
10000,631.3541192029447,25382.92274571724,49.39379452634603,7975.336649974808,172.5165659987877,515440.7900166439
100000,709.7973801997398,28495.559767983123,52.16894619166851,9420.862330282107,184.60738272412033,560904.2652769119
1e+06,734.69757117697,29601.982132398556,51.11953050084412,9977.136474313214,180.66263373933702,573252.9192409638
1e+07,621.709991589473,25053.488647854385,44.905845179222524,8807.778438292444,154.72018918561847,468205.11835687095
1e+08,738.4999399749735,29733.912393345963,56.280812215059996,9438.504503377597,201.3646896094455,607187.8067787632
1e+09,734.5343641653945,29507.9461065101,54.04788772761822,9641.75935896486,192.26922969074596,581508.1739017613
