Quantum,MeanDelay,MeanSlowdown,50th,99th,50th_sldn,99th_sldn
0.1,1.2109084252057523e+06,3.8523578498597852,665338.4895598888,5.138415357354403e+06,2.0374829943455453,15.024606308053809
1,1.332804470843145e+06,4.207835621815831,686588.4083197117,6.770999411802769e+06,2.0969727998860397,19.79824389416014
10,1.2824431829833535e+06,4.0588472820072905,673571.8340847492,7.764242679176569e+06,2.0559799013215305,22.702463974200494
100,1.2480477613153758e+06,3.954339703895805,639070.338146016,6.999258412379265e+06,1.9647128400300677,20.46566787245399
1000,1.2931809518405301e+06,4.094008505375786,638476.1902344227,7.401968482135534e+06,1.9790546409130096,21.64318269630273
10000,1.2451758804988498e+06,3.9518027775732945,681830.5612559319,6.217841137259722e+06,2.0681885004401206,18.180822038771115
100000,1.54937281388068e+06,4.930087767056659,802415.3330944777,7.4925681770823e+06,2.506123800550985,21.908094085035966
