Quantum,50th,99th
1,18.62090526893735,66750.68962417357
5,31.17990256100893,106411.23044572212
10,36.75410292856395,113916.15111101884
20,63.66907166875899,100184.83835558826
50,152.33479543025896,122616.36114591826
100,166.11277764476836,76517.94680817053
500,533.4016030151397,68580.29458966851
