Quantum,50th,99th
1,315277.4856613106,1.24910965440258e+06
10,384923.5672276941,1.4001291451613847e+06
100,963234.718612944,1.628312083698213e+06
1000,340650.921009231,924158.3687357246
10000,258666.18435274716,773229.8518606629
100000,342945.27220515907,783583.2552067954
1e+06,1.27686341124985e+06,2.021668518926749e+06
1e+07,921549.2613990251,1.6430452164964005e+06
